,Year,Match Count,Home Wins,Away Wins,Draws,Home Advantage
0,1872,1,0,0,1,0.0
1,1873,1,1,0,0,1.0
2,1874,1,1,0,0,1.0
3,1875,1,0,0,1,0.0
4,1876,2,2,0,0,1.0
5,1877,2,0,2,0,-1.0
6,1878,2,2,0,0,1.0
7,1879,3,2,1,0,0.3333333333333333
8,1880,3,2,1,0,0.3333333333333333
9,1881,3,0,3,0,-1.0
10,1882,4,3,1,0,0.5
11,1883,4,2,2,0,0.0
12,1884,5,2,3,0,-0.2
13,1885,6,2,2,2,0.0
14,1886,6,2,3,1,-0.16666666666666666
15,1887,5,3,2,0,0.2
16,1888,6,3,3,0,0.0
17,1889,5,3,1,1,0.4
18,1890,5,1,3,1,-0.4
19,1891,5,4,1,0,0.6
20,1892,5,1,4,0,-0.6
21,1893,5,4,1,0,0.6
22,1894,5,1,2,2,-0.2
23,1895,5,3,0,2,0.6
24,1896,5,2,2,1,0.0
25,1897,5,3,1,1,0.4
26,1898,5,1,4,0,-0.6
27,1899,5,4,1,0,0.6
28,1900,5,2,2,1,0.0
29,1901,5,3,0,2,0.6
30,1902,7,2,3,2,-0.14285714285714285
31,1903,8,4,4,0,0.0
32,1904,8,2,2,4,0.0
33,1905,11,7,1,3,0.5454545454545454
34,1906,11,4,7,0,-0.2727272727272727
35,1907,10,5,3,2,0.2
36,1908,26,12,12,2,0.0
37,1909,19,10,5,4,0.2631578947368421
38,1910,24,13,9,2,0.16666666666666666
39,1911,31,16,10,5,0.1935483870967742
40,1912,44,23,14,7,0.20454545454545456
41,1913,34,19,10,5,0.2647058823529412
42,1914,30,13,7,10,0.2
43,1915,13,8,4,1,0.3076923076923077
44,1916,26,12,8,6,0.15384615384615385
45,1917,26,13,10,3,0.11538461538461539
46,1918,17,11,3,3,0.47058823529411764
47,1919,43,28,9,6,0.4418604651162791
48,1920,49,31,11,7,0.40816326530612246
49,1921,47,21,12,14,0.19148936170212766
50,1922,55,24,15,16,0.16363636363636364
51,1923,68,34,21,13,0.19117647058823528
52,1924,85,51,20,14,0.36470588235294116
53,1925,58,29,22,7,0.1206896551724138
54,1926,56,28,19,9,0.16071428571428573
55,1927,58,28,22,8,0.10344827586206896
56,1928,76,40,21,15,0.25
57,1929,54,33,15,6,0.3333333333333333
58,1930,73,38,20,15,0.2465753424657534
59,1931,54,30,12,12,0.3333333333333333
60,1932,52,28,19,5,0.17307692307692307
61,1933,59,24,20,15,0.06779661016949153
62,1934,69,36,26,7,0.14492753623188406
63,1935,69,39,21,9,0.2608695652173913
64,1936,54,23,22,9,0.018518518518518517
65,1937,78,41,28,9,0.16666666666666666
66,1938,89,48,26,15,0.24719101123595505
67,1939,59,29,22,8,0.11864406779661017
68,1940,41,25,8,8,0.4146341463414634
69,1941,31,14,12,5,0.06451612903225806
70,1942,48,26,15,7,0.22916666666666666
71,1943,12,5,5,2,0.0
72,1944,4,4,0,0,1.0
73,1945,52,33,12,7,0.40384615384615385
74,1946,59,42,11,6,0.5254237288135594
75,1947,82,35,35,12,0.0
76,1948,51,25,15,11,0.19607843137254902
77,1949,92,44,36,12,0.08695652173913043
78,1950,86,44,30,12,0.16279069767441862
79,1951,66,32,20,14,0.18181818181818182
80,1952,72,30,28,14,0.027777777777777776
81,1953,92,32,41,19,-0.09782608695652174
82,1954,113,55,40,18,0.13274336283185842
83,1955,92,44,30,18,0.15217391304347827
84,1956,113,50,35,28,0.13274336283185842
85,1957,123,63,36,24,0.21951219512195122
86,1958,110,55,28,27,0.24545454545454545
87,1959,102,55,31,16,0.23529411764705882
88,1960,132,75,40,17,0.26515151515151514
89,1961,121,65,31,25,0.2809917355371901
90,1962,135,75,38,22,0.2740740740740741
91,1963,155,83,43,29,0.25806451612903225
92,1964,80,44,23,13,0.2625
93,1965,184,77,60,47,0.09239130434782608
94,1966,161,79,51,31,0.17391304347826086
95,1967,159,86,44,29,0.2641509433962264
96,1968,148,73,38,37,0.23648648648648649
97,1969,192,107,40,45,0.3489583333333333
98,1970,177,80,56,41,0.13559322033898305
99,1971,155,73,44,38,0.1870967741935484
100,1972,197,95,55,47,0.20304568527918782
101,1973,249,121,66,62,0.22088353413654618
102,1974,191,87,58,46,0.1518324607329843
103,1975,196,105,55,36,0.25510204081632654
104,1976,200,95,58,47,0.185
105,1977,255,134,62,59,0.2823529411764706
106,1978,195,92,62,41,0.15384615384615385
107,1979,175,91,49,35,0.24
108,1980,255,124,70,61,0.21176470588235294
109,1981,237,114,71,52,0.18143459915611815
110,1982,224,108,58,58,0.22321428571428573
111,1983,209,94,55,60,0.18660287081339713
112,1984,260,120,73,67,0.18076923076923077
113,1985,305,162,67,76,0.3114754098360656
114,1986,255,110,77,68,0.12941176470588237
115,1987,166,72,47,47,0.15060240963855423
116,1988,280,109,85,86,0.08571428571428572
117,1989,311,149,68,94,0.2604501607717042
118,1990,240,116,71,53,0.1875
119,1991,227,99,59,69,0.1762114537444934
120,1992,293,140,67,86,0.24914675767918087
121,1993,380,181,102,97,0.20789473684210527
122,1994,326,141,96,89,0.13803680981595093
123,1995,288,146,68,74,0.2708333333333333
124,1996,365,195,102,68,0.2547945205479452
125,1997,421,218,104,99,0.27078384798099764
126,1998,359,156,100,103,0.15598885793871867
127,1999,303,132,84,87,0.15841584158415842
128,2000,445,206,114,125,0.20674157303370785
129,2001,439,226,117,96,0.24829157175398633
130,2002,365,159,104,102,0.1506849315068493
131,2003,351,174,101,76,0.20797720797720798
132,2004,460,199,135,126,0.1391304347826087
133,2005,371,182,92,97,0.24258760107816713
134,2006,371,189,98,84,0.24528301886792453
135,2007,382,174,118,90,0.14659685863874344
136,2008,424,209,115,100,0.22169811320754718
137,2009,402,200,109,93,0.2263681592039801
138,2010,368,164,120,84,0.11956521739130435
139,2011,405,198,102,105,0.23703703703703705
140,2012,371,174,120,77,0.14555256064690028
141,2013,421,200,115,106,0.20190023752969122
142,2014,343,164,95,84,0.20116618075801748
143,2015,383,187,121,75,0.17232375979112272
144,2016,362,181,94,87,0.24033149171270718
145,2017,386,193,99,94,0.24352331606217617
146,2018,341,157,103,81,0.15835777126099707
147,2019,414,200,129,85,0.17149758454106281
148,2020,145,66,48,31,0.12413793103448276
149,2021,500,263,130,107,0.266
150,2022,392,203,102,87,0.2576530612244898
151,2023,326,157,100,69,0.17484662576687116
152,2024,466,213,132,121,0.17381974248927037
153,2025,352,173,101,78,0.20454545454545456
